# Time           	totalLift        	frontLift        	rearLift         	drag             	side             	Xmoment          	Ymoment          	Zmoment          
59	-6.2277590672e-01	-2.1732734656e-01	-4.0544856016e-01	1.4079909156e-01	0.0000000000e+00	-7.5534255766e-01	2.3515151700e-01	-1.7077016754e-01
60	-6.1701231430e-01	-2.1536477899e-01	-4.0164753531e-01	1.3977743098e-01	0.0000000000e+00	-7.4835210316e-01	2.3285344539e-01	-1.6953103208e-01
61	-6.1176673010e-01	-2.1357103138e-01	-3.9819569871e-01	1.3887916538e-01	0.0000000000e+00	-7.4198992224e-01	2.3078083416e-01	-1.6844155796e-01
62	-6.0685191527e-01	-2.1189633835e-01	-3.9495557693e-01	1.3800804373e-01	0.0000000000e+00	-7.3602891964e-01	2.2882404822e-01	-1.6738500575e-01
63	-6.0232774174e-01	-2.1036194484e-01	-3.9196579690e-01	1.3718506582e-01	0.0000000000e+00	-7.3054171185e-01	2.2700481508e-01	-1.6638684537e-01
64	-5.9871260550e-01	-2.0908461452e-01	-3.8962799097e-01	1.3669488307e-01	0.0000000000e+00	-7.2615704278e-01	2.2567922056e-01	-1.6579232030e-01
65	-5.9583541558e-01	-2.0804179150e-01	-3.8779362409e-01	1.3640964740e-01	0.0000000000e+00	-7.2266740234e-01	2.2468979074e-01	-1.6544636818e-01
66	-5.9374336401e-01	-2.0725411222e-01	-3.8648925179e-01	1.3637073735e-01	0.0000000000e+00	-7.2013002803e-01	2.2404392447e-01	-1.6539917557e-01
67	-5.9269537764e-01	-2.0679248526e-01	-3.8590289238e-01	1.3667826062e-01	0.0000000000e+00	-7.1885896296e-01	2.2388800889e-01	-1.6577215952e-01
68	-5.9209739290e-01	-2.0650760911e-01	-3.8558978379e-01	1.3701448761e-01	0.0000000000e+00	-7.1813368871e-01	2.2385271836e-01	-1.6617995717e-01
69	-5.9184118894e-01	-2.0637687601e-01	-3.8546431293e-01	1.3731365472e-01	0.0000000000e+00	-7.1782294812e-01	2.2385929615e-01	-1.6654280623e-01
70	-5.9166878367e-01	-2.0632030251e-01	-3.8534848116e-01	1.3749116778e-01	0.0000000000e+00	-7.1761384395e-01	2.2378522331e-01	-1.6675810545e-01
71	-5.9140099116e-01	-2.0629336166e-01	-3.8510762950e-01	1.3744622534e-01	0.0000000000e+00	-7.1728904802e-01	2.2351783481e-01	-1.6670359638e-01
72	-5.9135650524e-01	-2.0636509725e-01	-3.8499140799e-01	1.3736563484e-01	0.0000000000e+00	-7.1723509265e-01	2.2328288843e-01	-1.6660585106e-01
73	-5.9164885315e-01	-2.0654559101e-01	-3.8510326214e-01	1.3736498455e-01	0.0000000000e+00	-7.1758967094e-01	2.2319708891e-01	-1.6660506234e-01
74	-5.9220385488e-01	-2.0682217951e-01	-3.8538167537e-01	1.3738311695e-01	0.0000000000e+00	-7.1826281263e-01	2.2319936983e-01	-1.6662705448e-01
75	-5.9316539253e-01	-2.0722208797e-01	-3.8594330456e-01	1.3752494107e-01	0.0000000000e+00	-7.1942902715e-01	2.2340152074e-01	-1.6679906786e-01
76	-5.9450693714e-01	-2.0774183722e-01	-3.8676509992e-01	1.3777519795e-01	0.0000000000e+00	-7.2105613849e-01	2.2377907838e-01	-1.6710259546e-01
77	-5.9617108090e-01	-2.0835793092e-01	-3.8781314998e-01	1.3813215033e-01	0.0000000000e+00	-7.2307451876e-01	2.2431902383e-01	-1.6753553020e-01
78	-5.9844731380e-01	-2.0913416311e-01	-3.8931315068e-01	1.3873743434e-01	0.0000000000e+00	-7.2583527999e-01	2.2522373447e-01	-1.6826965746e-01
79	-6.0113223884e-01	-2.1002726868e-01	-3.9110497015e-01	1.3948856713e-01	0.0000000000e+00	-7.2909172926e-01	2.2634712684e-01	-1.6918067948e-01
80	-6.0414494743e-01	-2.1102658810e-01	-3.9311835933e-01	1.4033389973e-01	0.0000000000e+00	-7.3274573545e-01	2.2761471403e-01	-1.7020595306e-01
81	-6.0717276965e-01	-2.1205681794e-01	-3.9511595171e-01	1.4111066771e-01	0.0000000000e+00	-7.3641807240e-01	2.2882391722e-01	-1.7114806709e-01
82	-6.1015752878e-01	-2.1309724719e-01	-3.9706028159e-01	1.4180729970e-01	0.0000000000e+00	-7.4003817969e-01	2.2995379300e-01	-1.7199298703e-01
83	-6.1321102985e-01	-2.1417393065e-01	-3.9903709920e-01	1.4248160594e-01	0.0000000000e+00	-7.4374166160e-01	2.3107896070e-01	-1.7281082889e-01
