# Time           	totalLift        	frontLift        	rearLift         	drag             	side             	Xmoment          	Ymoment          	Zmoment          
118	1.0340863802e-01	6.9966639723e-02	3.3441998293e-02	1.3022130396e-01	7.1250591146e-19	1.3413406489e-01	4.5655801787e-02	-1.6891347929e-01
119	1.0483093013e-01	7.0184522985e-02	3.4646407146e-02	1.3009383436e-01	7.1227160666e-19	1.3597895741e-01	4.4422644799e-02	-1.6874813511e-01
120	1.0606681660e-01	7.0210321313e-02	3.5856495287e-02	1.2980649083e-01	6.9852961363e-19	1.3758205826e-01	4.2942282532e-02	-1.6837541426e-01
121	1.0797092398e-01	7.0530794526e-02	3.7440129458e-02	1.2978737746e-01	6.9111371108e-19	1.4005192604e-01	4.1363331335e-02	-1.6835062180e-01
122	1.0940420344e-01	7.0687417077e-02	3.8716786358e-02	1.2958239825e-01	6.8663644558e-19	1.4191107053e-01	3.9963288399e-02	-1.6808473788e-01
123	1.1121304413e-01	7.0897059285e-02	4.0315984849e-02	1.2947258367e-01	6.7039250384e-19	1.4425736539e-01	3.8226343045e-02	-1.6794229449e-01
124	1.1309040588e-01	7.1218455369e-02	4.1871950512e-02	1.2943553832e-01	6.6468620142e-19	1.4669254070e-01	3.6683131071e-02	-1.6789424200e-01
125	1.1514053244e-01	7.1610800264e-02	4.3529732175e-02	1.2946063067e-01	6.5771797780e-19	1.4935181379e-01	3.5101335111e-02	-1.6792678994e-01
126	1.1703174004e-01	7.1870623968e-02	4.5161116075e-02	1.2936570808e-01	6.4160200601e-19	1.5180494893e-01	3.3386884866e-02	-1.6780366336e-01
127	1.1889103693e-01	7.2165901534e-02	4.6725135400e-02	1.2928631208e-01	6.3199141348e-19	1.5421669184e-01	3.1800957667e-02	-1.6770067672e-01
128	1.2103161525e-01	7.2553472725e-02	4.8478142523e-02	1.2926620892e-01	6.1858952517e-19	1.5699329229e-01	3.0094162752e-02	-1.6767460038e-01
129	1.2294945956e-01	7.2775490465e-02	5.0173969091e-02	1.2914493577e-01	5.9854911416e-19	1.5948097859e-01	2.8251901718e-02	-1.6751729378e-01
130	1.2482215868e-01	7.3047199364e-02	5.1774959317e-02	1.2902980247e-01	5.8652031163e-19	1.6191010590e-01	2.6590300059e-02	-1.6736795135e-01
131	1.2684359810e-01	7.3357710087e-02	5.3485888017e-02	1.2893083840e-01	5.8844487479e-19	1.6453216815e-01	2.4839777587e-02	-1.6723958245e-01
132	1.2860069018e-01	7.3529768843e-02	5.5070921339e-02	1.2869719564e-01	5.9010998472e-19	1.6681133851e-01	2.3073559380e-02	-1.6693651829e-01
133	1.3096706002e-01	7.3968484821e-02	5.6998575200e-02	1.2870308218e-01	5.8993588845e-19	1.6988081909e-01	2.1212387027e-02	-1.6694415387e-01
134	1.3374864590e-01	7.4529087159e-02	5.9219558738e-02	1.2880525643e-01	5.8872134546e-19	1.7348888731e-01	1.9136910526e-02	-1.6707668677e-01
