# y+ ()          
# Time           	patch            	min              	max              	average          
57               	Bottom	4.0725001499e+00	9.4645331390e+01	5.4066011918e+01
57               	Top	6.8997442428e+00	9.9733075339e+01	5.8667040525e+01
57               	e423_0	3.4917708842e-01	1.3501324508e+02	4.4604817137e+00
58               	Bottom	4.5537267549e+00	9.5315979139e+01	5.4413538134e+01
58               	Top	6.0966201914e+00	1.0045545295e+02	5.9009847959e+01
58               	e423_0	1.1773364796e-01	1.3474797290e+02	4.4349404274e+00
59               	Bottom	7.5251612401e+00	9.5978840030e+01	5.4810163167e+01
59               	Top	5.3395897901e+00	1.0116508159e+02	5.9361243675e+01
59               	e423_0	2.6353106151e-01	1.3448068410e+02	4.4192169461e+00
60               	Bottom	9.2783409963e+00	9.6634547357e+01	5.5170396232e+01
60               	Top	4.6699939359e+00	1.0186247406e+02	5.9725239807e+01
60               	e423_0	2.4548638565e-01	1.3421147612e+02	4.3986360741e+00
61               	Bottom	9.3882848676e+00	9.7283511127e+01	5.5508153937e+01
61               	Top	4.0234976402e+00	1.0254840852e+02	6.0102549313e+01
61               	e423_0	3.0620194744e-01	1.3394005934e+02	4.3833417082e+00
62               	Bottom	9.4951598096e+00	9.7925455191e+01	5.5824353544e+01
62               	Top	3.1239669346e+00	1.0322398302e+02	6.0486182405e+01
62               	e423_0	6.7409621471e-02	1.3366721666e+02	4.3591311804e+00
63               	Bottom	7.3762441576e+00	9.8560411828e+01	5.6112159963e+01
63               	Top	9.8697773937e-01	1.0389013168e+02	6.0847899347e+01
63               	e423_0	3.1835507317e-01	1.3339282880e+02	4.3418625742e+00
64               	Bottom	4.5018375538e+00	9.9188417844e+01	5.6364595598e+01
64               	Top	3.2056821226e+00	1.0454907600e+02	6.1322695851e+01
64               	e423_0	3.9102180858e-01	1.3311668912e+02	4.3185298052e+00
65               	Bottom	2.8969576064e+00	9.9809050612e+01	5.6638090830e+01
65               	Top	4.8882268780e+00	1.0519963418e+02	6.1783474238e+01
65               	e423_0	2.3619813035e-01	1.3283876744e+02	4.3005202136e+00
66               	Bottom	5.6601663203e+00	1.0042217319e+02	5.7018743743e+01
66               	Top	6.2686137666e+00	1.0584250675e+02	6.2234338950e+01
66               	e423_0	2.0280322033e-01	1.3255841638e+02	4.2768720133e+00
