# Time           	flap1            	mainPlane        
86	( 2.5940389212e-03 1.7709913798e-03 -1.5763105624e-02 )	( 1.1486979698e-02 1.6354962798e-03 -2.2791079028e-02 )	
87	( 2.5959927536e-03 1.7724698387e-03 -1.5775272468e-02 )	( 1.1513517512e-02 1.6346638884e-03 -2.2827668893e-02 )	
88	( 2.5978531693e-03 1.7738440283e-03 -1.5786850777e-02 )	( 1.1540088499e-02 1.6337624575e-03 -2.2864467642e-02 )	
89	( 2.5995504803e-03 1.7751870243e-03 -1.5797547507e-02 )	( 1.1566695836e-02 1.6329505758e-03 -2.2901386008e-02 )	
90	( 2.6011293754e-03 1.7764026437e-03 -1.5807481043e-02 )	( 1.1593357950e-02 1.6320631271e-03 -2.2938564055e-02 )	
91	( 2.6025239341e-03 1.7775783782e-03 -1.5816411805e-02 )	( 1.1620064144e-02 1.6312633803e-03 -2.2975874190e-02 )	
92	( 2.6038237297e-03 1.7786549329e-03 -1.5824762469e-02 )	( 1.1646815044e-02 1.6304016956e-03 -2.3013462362e-02 )	
93	( 2.6050521637e-03 1.7797564836e-03 -1.5832792186e-02 )	( 1.1673660095e-02 1.6296501395e-03 -2.3051343739e-02 )	
94	( 2.6062000443e-03 1.7807520699e-03 -1.5840289556e-02 )	( 1.1700549813e-02 1.6288397472e-03 -2.3089500142e-02 )	
95	( 2.6071897809e-03 1.7817235564e-03 -1.5846942828e-02 )	( 1.1727467698e-02 1.6281108151e-03 -2.3127770853e-02 )	
96	( 2.6080424305e-03 1.7825629546e-03 -1.5852742751e-02 )	( 1.1754375874e-02 1.6273026138e-03 -2.3166179154e-02 )	
97	( 2.6087367459e-03 1.7833820159e-03 -1.5857717479e-02 )	( 1.1781308359e-02 1.6265879512e-03 -2.3204714646e-02 )	
98	( 2.6092947190e-03 1.7840578669e-03 -1.5861814606e-02 )	( 1.1808264913e-02 1.6258071794e-03 -2.3243472365e-02 )	
99	( 2.6096397156e-03 1.7846763708e-03 -1.5864748203e-02 )	( 1.1835219946e-02 1.6251051663e-03 -2.3282250717e-02 )	
100	( 2.6098542418e-03 1.7851494268e-03 -1.5866829653e-02 )	( 1.1862161263e-02 1.6243175882e-03 -2.3321105652e-02 )	
101	( 2.6098888813e-03 1.7855859014e-03 -1.5867947661e-02 )	( 1.1889109239e-02 1.6236169186e-03 -2.3360019985e-02 )	
102	( 2.6097956561e-03 1.7858860202e-03 -1.5868247455e-02 )	( 1.1916057352e-02 1.6228374492e-03 -2.3399079779e-02 )	
103	( 2.6095272810e-03 1.7861308086e-03 -1.5867559632e-02 )	( 1.1943013499e-02 1.6221495672e-03 -2.3438166030e-02 )	
104	( 2.6090928925e-03 1.7862101492e-03 -1.5865805592e-02 )	( 1.1969904679e-02 1.6213781528e-03 -2.3477267767e-02 )	
105	( 2.6084256091e-03 1.7862026810e-03 -1.5862726315e-02 )	( 1.1996773990e-02 1.6206885862e-03 -2.3516356074e-02 )	
106	( 2.6075848447e-03 1.7860178488e-03 -1.5858513542e-02 )	( 1.2023603704e-02 1.6199225544e-03 -2.3555511603e-02 )	
107	( 2.6064863867e-03 1.7857215081e-03 -1.5852800399e-02 )	( 1.2050386037e-02 1.6192231601e-03 -2.3594542282e-02 )	
108	( 2.6053395382e-03 1.7853294365e-03 -1.5846720743e-02 )	( 1.2077155590e-02 1.6184602760e-03 -2.3633725939e-02 )	
109	( 2.6039752056e-03 1.7848482508e-03 -1.5839370023e-02 )	( 1.2103860894e-02 1.6177687540e-03 -2.3672784375e-02 )	
110	( 2.6024460905e-03 1.7841948621e-03 -1.5830941685e-02 )	( 1.2130507022e-02 1.6169917678e-03 -2.3711841697e-02 )	
111	( 2.6007696209e-03 1.7834986156e-03 -1.5821681771e-02 )	( 1.2157129175e-02 1.6163021398e-03 -2.3750867228e-02 )	
112	( 2.5988617011e-03 1.7825760643e-03 -1.5810905454e-02 )	( 1.2183658701e-02 1.6155215982e-03 -2.3789803342e-02 )	
113	( 2.5967191683e-03 1.7815491676e-03 -1.5798754794e-02 )	( 1.2210106215e-02 1.6148180710e-03 -2.3828563736e-02 )	
