# y+ ()          
# Time           	patch            	min              	max              	average          
120              	Top	1.9720707482e-01	8.1437688038e+01	4.8242080465e+01
120              	e423_0	4.5707525963e-01	6.8045991367e+01	3.9208022694e+00
121              	Bottom	9.0260416272e+00	7.3811870291e+01	4.3353622565e+01
121              	Top	3.7545147832e+00	8.1663754295e+01	4.8534497776e+01
121              	e423_0	3.3900914624e-01	6.7809183994e+01	3.9134996300e+00
122              	Bottom	8.4379247665e+00	7.3975030798e+01	4.3495842327e+01
122              	Top	5.4485110395e+00	8.1887339100e+01	4.8771632626e+01
122              	e423_0	3.0225534848e-01	6.7588265286e+01	3.9259748393e+00
123              	Bottom	7.5335722775e+00	7.4137619348e+01	4.3628172327e+01
123              	Top	6.8312174360e+00	8.2105082099e+01	4.8991510284e+01
123              	e423_0	4.5340034740e-01	6.7373614302e+01	3.9135308497e+00
124              	Bottom	6.7482030560e+00	7.4300291676e+01	4.3759287568e+01
124              	Top	8.0074236741e+00	8.2319679679e+01	4.9194200274e+01
124              	e423_0	2.5079766741e-01	6.7172022181e+01	3.9133909673e+00
